0:  zero-function
2:  -121-032-453
4:  -013-243-353
6:  -231-014-453
8:  -010-231-452
10:  -022-343
12:  -231-142
14:  -011-343-253
16:  -232-043-153
18:  -024-343-153
20:  -124-043-353
22:  -120-124-042-564-373
24:  -014-024-453-363
26:  -013-024-453-363
28:  -124-343-020-562
30:  -011-244-353
32:  -131-020-453
34:  -131-042
36:  -014-024-351-462
38:  -120-014-341-562
40:  -124-343-050
42:  -120-341-052
44:  -011-124-450-363
46:  -024-142-054-363
48:  -131-242
50:  -021-143-353
52:  -022-124-453-363
54:  -021-144-353
56:  -013-341-124-563
58:  -021-120-351-462
60:  -124-343
62:  -012-124-451-363
64:  -232-043-150
66:  -014-124-351-462
68:  -013-343
70:  -020-141-054-363
72:  -024-343-150
74:  -024-011-450-363
76:  -020-142-353
78:  -124-042-154-363
80:  -023-343
82:  -024-343-010-562
84:  -121-031-452
86:  -121-044-353
88:  -012-341-024-563
90:  -024-343
92:  -121-020-452-363
94:  -013-241-054-363
96:  -014-232-450
98:  -014-122-452-363
100:  -121-343-014-560
102:  -014-343
104:  -011-124-054-462-373
106:  -120-044-353
108:  -020-144-353
110:  -014-122-451-363
112:  -010-232-453
114:  -124-042-254-363
116:  -121-010-452-363
118:  -123-041-154-363
120:  -010-244-353
122:  -024-012-451-363
124:  -013-124-451-363
126:  -014-024-451-363
128:  -132-240-050
130:  -124-042-353
132:  -024-132-453
134:  -011-240-014-564-373
136:  -010-343
138:  -123-042-353
140:  -023-142-353
142:  -024-142-022-561-373
144:  -014-232-453
146:  -014-013-251-464-373
148:  -014-244-022-353-673
150:  -024-144-353
152:  -121-343-014-562
154:  -123-044-353
156:  -023-144-353
158:  -024-144-022-561-373
160:  -032-240
162:  -122-042-353
164:  -121-043-254-363
166:  -122-044-353
168:  -121-032-450
170:  -032
172:  -121-023-452-363
174:  -122-041-353
176:  -013-242-353
178:  -024-140-351-021-673
180:  -013-244-353
182:  -013-012-244-561-373
184:  -024-143-054-363
186:  -123-041-353
188:  -010-242-154-363
190:  -124-041-353
192:  -120-343
194:  -011-124-351-462
196:  -022-142-353
198:  -022-144-353
200:  -021-132-450
202:  -014-240-054-363
204:  -132
206:  -022-141-353
208:  -232-012-452
210:  -012-244-353
212:  -121-120-052-361-472
214:  -023-142-054-264-373
216:  -021-012-452-363
218:  -010-024-451-363
220:  -023-141-353
222:  -024-141-353
224:  -011-240-353
226:  -011-122-452-363
228:  -124-043-254-363
230:  -120-042-154-363
232:  -024-020-140-561-373
234:  -120-041-353
236:  -020-141-353
238:  -011-343
240:  -232
242:  -012-241-353
244:  -013-241-353
246:  -014-241-353
248:  -010-241-353
250:  -021-343
252:  -121-343
254:  -021-141-353
256:  -021-141-352
258:  -121-034-453
260:  -134-243-053
262:  -030-034-154-263-473
264:  -134-014-251-462
266:  -034-130-243-563
268:  -134-243-030-562
270:  -011-344-253
272:  -234-043-153
274:  -034-244-230-161-572
276:  -230-234-041-154-673
278:  -121-120-340-044-573-681-394
280:  -034-244-030-014-562-783
282:  -134-040-154-034-274-683
284:  -234-141-231-011-670-582
286:  -011-340-244-561-374
288:  -034-143-234-560
290:  -230-034-453-163
292:  -120-042-254-234-174-683
294:  -234-041-043-364-154-783
296:  -234-041-150-464-034-780
298:  -131-240-130-561-034-783
300:  -134-012-454-254-672
302:  -134-012-252-462-574
304:  -030-234-141-562
306:  -021-344-153
308:  -134-244-021-131-670-582
310:  -021-144-130-561-374
312:  -021-234-344-154-670
314:  -231-140-021-364-573
316:  -234-144-011-360-572
318:  -021-141-120-354-673
320:  -124-041-134-563
322:  -020-342-124-254-074-683
324:  -134-230-043-563
326:  -234-143-014-354-364-783
328:  -124-044-134-340-563-783
330:  -034-244-011-364-570
332:  -012-342-054-154-260-782
334:  -013-011-354-242-672
336:  -122-041-234-563
338:  -234-044-144-261-074-580
340:  -121-344-053
342:  -121-034-040-561-474
344:  -121-122-344-054-672
346:  -121-024-452-354-673
348:  -121-122-344-052-672
350:  -021-141-354-020-672
352:  -022-234-453-124-074-682
354:  -034-023-454-144-670
356:  -034-144-240-064-572
358:  -034-243-144-352-672
360:  -024-144-121-364-573
362:  -134-243-154-064-352-782
364:  -021-020-154-462-364-783
366:  -014-011-242-354-673
368:  -024-142-022-561-234-783
370:  -023-142-021-364-573
372:  -131-040-121-364-573
374:  -011-241-010-354-673
376:  -034-143-254-064-352-782
378:  -021-024-152-344-673
380:  -121-344-124-062-572
382:  -030-014-451-024-671-384
384:  -034-014-234-460-573
386:  -023-142-254-034-673
388:  -134-024-452-030-672
390:  -010-011-354-244-672
392:  -023-342-054-014-672
394:  -123-034-013-461-572
396:  -234-040-254-134-673
398:  -010-011-354-242-672
400:  -014-234-453-130-672
402:  -021-020-344-154-672
404:  -121-120-344-054-672
406:  -121-340-124-051-361-784
408:  -021-014-344-563
410:  -234-143-352-054-673
412:  -234-043-352-154-673
414:  -024-144-051-252-364-783
416:  -130-241-354-034-670
418:  -023-122-034-451-672
420:  -121-024-344-563
422:  -134-243-030-561-074
424:  -121-034-344-560
426:  -121-034-043-562
428:  -121-023-351-464-030-782
430:  -023-011-354-463
432:  -022-013-234-451-672
434:  -021-020-344-152-672
436:  -134-230-043-264-573
438:  -024-140-351-021-171-684
440:  -020-141-054-021-374-683
442:  -021-013-344-563
444:  -024-124-452-121-374-683
446:  -124-041-354-230-672
448:  -030-141-124-354-673
