algo,pat,tim,gen,lgen
array,bp4kx4k,0.126727,2,2
array,bp4kx4k,0.354566,6,3
array,bp4kx4k,0.813694,14,4
array,bp4kx4k,1.73209,30,5
array,bp4kx4k,3.61076,62,6
array,bp4kx4k,7.35288,126,7
array,bp4kx4k,15.0144,254,8
array,bp4kx4k,31.1926,510,9
array2,bp4kx4k,0.090096,2,2
array2,bp4kx4k,0.252203,6,3
array2,bp4kx4k,0.578624,14,4
array2,bp4kx4k,1.22556,30,5
array2,bp4kx4k,2.52299,62,6
array2,bp4kx4k,5.13278,126,7
array2,bp4kx4k,10.4254,254,8
array2,bp4kx4k,21.6236,510,9
array2,bp4kx4k,44.6146,1022,10
array3,bp4kx4k,0.242176,2,2
array3,bp4kx4k,0.707036,6,3
array3,bp4kx4k,1.64251,14,4
array3,bp4kx4k,3.53936,30,5
array3,bp4kx4k,7.29243,62,6
array3,bp4kx4k,14.8731,126,7
array3,bp4kx4k,29.9775,254,8
array3,bp4kx4k,60.1715,510,9
array4,bp4kx4k,0.098109,2,2
array4,bp4kx4k,0.259313,6,3
array4,bp4kx4k,0.584749,14,4
array4,bp4kx4k,1.23557,30,5
array4,bp4kx4k,2.57812,62,6
array4,bp4kx4k,5.27649,126,7
array4,bp4kx4k,10.7284,254,8
array4,bp4kx4k,22.6623,510,9
array4,bp4kx4k,50.1097,1022,10
avx2,bp4kx4k,0.00204301,2,2
avx2,bp4kx4k,0.00427294,6,3
avx2,bp4kx4k,0.00785303,14,4
avx2,bp4kx4k,0.016053,30,5
avx2,bp4kx4k,0.0311439,62,6
avx2,bp4kx4k,0.0615029,126,7
avx2,bp4kx4k,0.123558,254,8
avx2,bp4kx4k,0.245152,510,9
avx2,bp4kx4k,0.494003,1022,10
avx2,bp4kx4k,0.982928,2046,11
avx2,bp4kx4k,1.93918,4094,12
avx2,bp4kx4k,3.852,8190,13
avx2,bp4kx4k,8.04789,16382,14
avx2,bp4kx4k,15.7728,32766,15
avx2,bp4kx4k,31.1725,65534,16
avx22,bp4kx4k,0.00199199,2,2
avx22,bp4kx4k,0.00387692,6,3
avx22,bp4kx4k,0.00736094,14,4
avx22,bp4kx4k,0.014385,30,5
avx22,bp4kx4k,0.028903,62,6
avx22,bp4kx4k,0.0569038,126,7
avx22,bp4kx4k,0.114339,254,8
avx22,bp4kx4k,0.225813,510,9
avx22,bp4kx4k,0.447413,1022,10
avx22,bp4kx4k,0.895525,2046,11
avx22,bp4kx4k,1.79818,4094,12
avx22,bp4kx4k,3.70115,8190,13
avx22,bp4kx4k,7.43534,16382,14
avx22,bp4kx4k,14.8028,32766,15
avx22,bp4kx4k,29.2011,65534,16
avx22,bp4kx4k,60.6884,131070,17
avx23,bp4kx4k,0.00191188,2,2
avx23,bp4kx4k,0.00356579,6,3
avx23,bp4kx4k,0.006953,14,4
avx23,bp4kx4k,0.0133169,30,5
avx23,bp4kx4k,0.0257139,62,6
avx23,bp4kx4k,0.050916,126,7
avx23,bp4kx4k,0.0998108,254,8
avx23,bp4kx4k,0.202459,510,9
avx23,bp4kx4k,0.404859,1022,10
avx23,bp4kx4k,0.803799,2046,11
avx23,bp4kx4k,1.59987,4094,12
avx23,bp4kx4k,3.28528,8190,13
avx23,bp4kx4k,6.49024,16382,14
avx23,bp4kx4k,13.0512,32766,15
avx23,bp4kx4k,26.5915,65534,16
avx23,bp4kx4k,57.0101,131070,17
bitpar,bp4kx4k,0.00508189,2,2
bitpar,bp4kx4k,0.0123429,6,3
bitpar,bp4kx4k,0.0317638,14,4
bitpar,bp4kx4k,0.0713439,30,5
bitpar,bp4kx4k,0.156802,62,6
bitpar,bp4kx4k,0.262408,126,7
bitpar,bp4kx4k,0.429244,254,8
bitpar,bp4kx4k,0.754344,510,9
bitpar,bp4kx4k,1.40344,1022,10
bitpar,bp4kx4k,2.69729,2046,11
bitpar,bp4kx4k,5.20564,4094,12
bitpar,bp4kx4k,10.5087,8190,13
bitpar,bp4kx4k,21.5913,16382,14
bitpar,bp4kx4k,42.9114,32766,15
bitpar2,bp4kx4k,0.00401211,2,2
bitpar2,bp4kx4k,0.0129681,6,3
bitpar2,bp4kx4k,0.0271881,14,4
bitpar2,bp4kx4k,0.05199,30,5
bitpar2,bp4kx4k,0.0940449,62,6
bitpar2,bp4kx4k,0.177723,126,7
bitpar2,bp4kx4k,0.345189,254,8
bitpar2,bp4kx4k,0.678821,510,9
bitpar2,bp4kx4k,1.35039,1022,10
bitpar2,bp4kx4k,2.70258,2046,11
bitpar2,bp4kx4k,5.50444,4094,12
bitpar2,bp4kx4k,11.2571,8190,13
bitpar2,bp4kx4k,22.4651,16382,14
bitpar2,bp4kx4k,44.6335,32766,15
bitpar3,bp4kx4k,0.00401688,2,2
bitpar3,bp4kx4k,0.00878,6,3
bitpar3,bp4kx4k,0.0226738,14,4
bitpar3,bp4kx4k,0.0506699,30,5
bitpar3,bp4kx4k,0.097002,62,6
bitpar3,bp4kx4k,0.176262,126,7
bitpar3,bp4kx4k,0.329334,254,8
bitpar3,bp4kx4k,0.635774,510,9
bitpar3,bp4kx4k,1.25839,1022,10
bitpar3,bp4kx4k,2.48386,2046,11
bitpar3,bp4kx4k,4.8785,4094,12
bitpar3,bp4kx4k,9.75515,8190,13
bitpar3,bp4kx4k,19.4214,16382,14
bitpar3,bp4kx4k,39.5074,32766,15
hlife,bp4kx4k,0.011797,2,2
hlife,bp4kx4k,0.0172441,6,3
hlife,bp4kx4k,0.022918,14,4
hlife,bp4kx4k,0.0291181,30,5
hlife,bp4kx4k,0.035733,62,6
hlife,bp4kx4k,0.0475121,126,7
hlife,bp4kx4k,0.056107,254,8
hlife,bp4kx4k,0.0654061,510,9
hlife,bp4kx4k,0.0754001,1022,10
hlife,bp4kx4k,0.085501,2046,11
hlife,bp4kx4k,0.0957851,4094,12
hlife,bp4kx4k,0.0961452,8190,13
hlife,bp4kx4k,0.096446,16382,14
hlife,bp4kx4k,0.0967441,32766,15
hlife,bp4kx4k,0.097044,65534,16
hlife,bp4kx4k,0.0973401,131070,17
hlife,bp4kx4k,0.0976391,262142,18
hlife,bp4kx4k,0.0979362,524286,19
hlife,bp4kx4k,0.0982351,1048574,20
hlife,bp4kx4k,0.098531,2097150,21
hlife,bp4kx4k,0.09883,4194302,22
hlife,bp4kx4k,0.099129,8388606,23
hlife,bp4kx4k,0.0994279,16777214,24
hlife,bp4kx4k,0.099726,33554430,25
hlife,bp4kx4k,0.100052,67108862,26
hlife,bp4kx4k,0.100371,134217726,27
hlife,bp4kx4k,0.100672,268435454,28
hlife,bp4kx4k,0.100973,536870910,29
lifelib,bp4kx4k,0.00533009,2,2
lifelib,bp4kx4k,0.0111749,6,3
lifelib,bp4kx4k,0.0153329,14,4
